seconds_elapsed,z,y,x
68.86688672,-4.48854351,-2.372660875,0.542671502
68.88266431,-4.045667171,-2.085090637,0.164890647
68.89853345,-4.231344223,-1.633306146,-0.581056714
68.91446338,-5.108201027,-1.178364277,-1.009015083
68.93033276,-5.833739758,-1.225045085,-1.466551065
68.94623242,-5.266113281,-1.342516184,-1.759465814
68.96197949,-4.159986496,-1.601722717,-1.19188714
68.97784863,-3.188909054,-1.573212624,-0.329572588
68.99371777,-2.350074768,-1.297190666,0.611912012
69.00952588,-0.57623291,-0.554205418,0.881569922
69.02542529,0.654950142,0.177165508,0.461115241
69.04129468,1.360965729,0.832186699,0.130851299
69.05716382,2.102464676,0.974760056,0.595527649
69.07294141,2.209758759,0.882888556,1.245711207
69.08877979,3.249902725,1.002915382,0.883634567
69.10467944,5.609967232,1.091240883,0.987457037
69.12051807,7.670443535,0.910681248,0.790933013
69.13644824,9.23138237,1.378171682,0.314310282
69.15231738,7.790603638,1.617857695,-0.354995906
69.16812573,3.617486954,1.114872456,-1.63018918
69.18402539,0.892670631,0.053898573,-2.827377081
69.19986377,2.241806984,-1.9271245,-2.42323041
69.21576343,5.431341171,-3.554287672,-1.004205585
69.23157178,7.287686348,-4.129255295,1.050511599
69.24744092,4.893848419,-3.435248137,0.995432913
69.26330981,0.248689651,-2.156680346,-0.422670633
69.27911816,-4.788666725,-1.404607892,-1.879014134
69.2950481,-7.072701454,-1.275144339,-1.563916206
69.3108562,-6.280056,-1.851108909,-0.713009477
69.32675586,-3.417180538,-2.475733757,0.334668994
69.342625,-1.220528603,-2.600847244,1.519226432
69.35840283,-0.903441429,-2.373244286,1.680275917
69.37433301,-2.374901295,-1.789117217,1.330777526
69.39020215,-4.565380096,-1.300682187,0.435479879
69.40604053,-5.669007301,-1.055701971,-0.734944701
69.42184888,-5.031464577,-1.006570101,-1.744185686
69.43765674,-3.449839592,-0.8652637,-1.501777411
69.45367871,-3.670527935,-0.737247705,0.066497386
69.46948657,-3.674048901,-0.483286619,0.840852499
69.48538623,-2.522267342,0.000152588,0.192373812
69.50128589,-1.341299534,0.597762108,0.201402009
69.51706372,1.308751106,0.962380886,0.774821639
69.53302417,4.112361908,0.864218712,1.936009526
69.54883228,5.187627792,0.704304934,1.714171648
69.56464063,4.799005508,1.042324066,1.514109254
69.58054004,6.204277992,1.316143513,0.224796593
69.59637891,9.0113554,1.847043753,-1.337186337
69.61227856,10.20404625,3.294365406,-2.375341177
